"Code","Year.index","SHMI.index","SHMI.before","SHMI.after","Survey.observations.index","Survey.clinical.proportion.index","Survey.engagement.observations.index","Engagement.index","Survey.engagement.observations.before","Engagement.before","Survey.engagement.observations.after","Engagement.after"
"RA4",2016,0.9958,1.0184,0.9552,1375,0.67,1365,3.95333333333333,1188,3.98666666666667,1275,3.94333333333333
"RA7",2016,0.9913,0.9774,1.0168,3561,0.67,3543,3.86333333333333,3586,3.86333333333333,3692,3.88
"RA9",2016,0.8312,0.8219,0.9159,2677,0.61,2690,3.93333333333333,2670,3.92,2132,3.89
"RAE",2016,0.9748,0.9465,0.9305,463,0.7,453,3.93,379,3.95666666666667,2002,3.96
"RAJ",2016,1.1743,1.1516,1.1152,1689,0.68,1697,3.88,1815,3.84333333333333,1744,3.87333333333333
"RAL",2016,0.9012,0.8852,0.8646,3450,0.69,3688,3.96666666666667,3092,3.96333333333333,4072,3.94666666666667
"RAP",2016,0.8893,0.9494,0.8558,941,0.74,973,4.05,201,4.06,1203,4.02
"RAS",2016,0.9313,0.8805,0.9448,1413,0.7,1400,4.07333333333333,932,4.05666666666667,1513,4.03333333333333
"RAX",2016,0.8584,0.9263,0.8574,1305,0.69,1384,3.95666666666667,1093,3.94,1515,3.97333333333333
"RBA",2016,0.9844,1,0.8907,2069,0.72,2063,3.95,367,4.02333333333333,1730,3.97
"RBD",2016,1.1551,1.1493,1.1382,1366,0.68,1366,3.85,1434,3.91,1310,3.93333333333333
"RBK",2016,1.0339,1.046,1.0966,1695,0.68,1701,3.81333333333333,1400,3.83,1509,3.81333333333333
"RBL",2016,0.9699,0.9834,0.9556,551,0.63,549,3.92333333333333,499,4.00666666666667,375,3.91
"RBN",2016,1.0347,1.0338,1.0165,681,0.68,675,3.99333333333333,439,4.02,617,3.98666666666667
"RBT",2016,1.0424,0.9684,1.0412,706,0.64,707,3.99333333333333,496,4.01,669,3.90666666666667
"RBZ",2016,1.0438,1.0085,1.0771,438,0.65,442,3.96,406,4.08,1148,3.97
"RC1",2016,1.049,0.9937,1.026,493,0.7,490,3.96,317,4.05,458,3.99
"RC9",2016,1.0595,1.1032,1.0702,508,0.75,510,4.02666666666667,395,3.97666666666667,2087,3.99333333333333
"RCB",2016,0.974,0.9949,0.9889,3854,0.67,3803,3.89666666666667,3790,3.92333333333333,4061,3.87
"RCD",2016,0.9398,0.9392,0.9044,621,0.67,647,4.02,479,4.01666666666667,626,3.95666666666667
"RCF",2016,0.9656,0.9074,0.9862,1022,0.64,1028,3.89,998,3.92,1225,3.94333333333333
"RCU",NA,NA,NA,NA,1090,0.59,1147,3.86333333333333,1264,3.89666666666667,1479,3.81
"RCX",2016,1.0098,0.9107,0.9822,1364,0.76,1362,3.96666666666667,410,3.96333333333333,1413,3.94333333333333
"RD1",2016,1.0089,0.9741,0.9888,2192,0.67,2205,3.95,2265,3.90666666666667,2243,3.91333333333333
"RD3",2016,0.8325,0.9172,0.8642,1894,0.74,1885,3.98333333333333,1402,3.97333333333333,1814,4.00333333333333
"RD8",2016,1.0404,1.0261,0.9361,1415,0.65,1400,3.92666666666667,1484,3.96,1374,3.91666666666667
"RDD",2016,1.0363,0.9421,1.0826,1853,0.7,1856,4.01333333333333,1424,3.93666666666667,2195,3.91333333333333
"RDE",2016,1.0897,1.0694,1.1427,374,0.67,403,3.92666666666667,254,3.90666666666667,1555,3.89
"RDU",2016,0.9032,0.9341,0.918,2916,0.67,3006,4.06333333333333,304,4.00333333333333,3391,4.00666666666667
"RDZ",2016,0.937,0.9843,0.972,1837,0.67,1931,3.98666666666667,1558,4.02666666666667,2005,4.02333333333333
"RE9",2016,1.1413,1.1556,1.201,1508,0.72,1630,3.80666666666667,1475,3.82666666666667,1571,3.82333333333333
