"Code","Year.index","Engagement","FreedomSpeak","Openness","RecommendCare","RecommendWork","Responses","rr","SHMI.before","SHMI.index","Survey.clinical.proportion","WorkStress"
"RD3",2018,0.710463320333333,0.7976184255,0.78108748575,0.796734214,0.690478811,1707,0.495911369,0.8642,0.9159,0.73,0.35973124
"RD3",2019,0.718081318,0.80894512125,0.7862974505,0.781776141,0.68454565,1707,0.425685786,0.9159,0.8871,0.73,0.387875965
"RD8",2015,0.708079299333333,0.7729646905,0.7822784355,0.637268788,0.60691483,1914,0.504825291,1.0024,1.0261,0.66,0.377705813
"RD8",2016,0.707441726666667,0.763099915,0.7730685935,0.652163046,0.604903913,1914,0.452223273,1.0261,1.0404,0.65,0.377833892
"RD8",2017,0.700634647,0.76623909625,0.774145629,0.654844738,0.61203459,1914,0.428914938,1.0404,0.9361,0.64,0.373600096
"RD8",2018,0.717287853,0.7803892585,0.77948074975,0.684506231,0.636325343,1914,0.436944938,0.9361,1.0466,0.63,0.399292044
"RD8",2019,0.720591634333333,0.779886449,0.78040991925,0.701745087,0.669733617,1914,0.555265448,1.0466,1.158,0.64,0.399150652
"RDD",2015,0.680449629,0.743756194,0.76512968,0.664120619,0.581790978,2425,0.343616516,0.9838,0.9421,0.68,0.369300879
"RDD",2016,0.725249981,0.7776647565,0.79714953475,0.683488227,0.637563133,2425,0.422903517,0.9421,1.0363,0.7,0.384341982
"RDD",2017,0.698076107666667,0.7679482405,0.7874573005,0.710515136,0.60083173,2425,0.475388877,1.0363,1.0826,0.71,0.396328175
"RDD",2018,0.702411504,0.76964251075,0.79213717025,0.699770376,0.628160509,2425,0.418319966,1.0826,1.0196,0.69,0.404838044
"RDD",2019,0.683777497,0.7515096705,0.77319089275,0.652484116,0.572195362,2425,0.497231905,1.0196,1.0423,0.73,0.421331765
"RDE",2015,NA,NA,NA,NA,NA,4742,NA,1.0403,1.0694,0.8,NA
"RDE",2016,NA,NA,NA,NA,NA,4742,NA,1.0694,1.0897,0.67,NA
"RDE",2017,NA,NA,NA,NA,NA,4742,NA,1.0897,1.1427,0.64,NA
"RDE",2018,0.695228819666667,0.77015351675,0.7681023695,0.682889149,0.552583556,4742,0.393435496,1.1427,1.141,0.69,0.415364053
"RDE",2019,0.695385341333333,0.75895714375,0.7603510465,0.668538286,0.572655268,4742,0.489724259,1.141,1.0831,0.69,0.409458537
"RDU",2015,0.720685929,0.788763329,0.7966505015,0.792856338,0.688955578,4865,0.372009569,0.9283,0.9341,0.7,0.328161133
"RDU",2016,0.752543291,0.79102573025,0.7864419665,0.777454451,0.674241742,4865,0.372383931,0.9341,0.9032,0.67,0.313116055
"RDU",2017,0.742584448,0.80308076175,0.79385540575,0.793138333,0.661897364,4865,0.403488372,0.9032,0.918,0.67,0.328443226
"RDU",2018,0.762382519,0.82508279975,0.8172816685,0.814498893,0.70172666,4865,0.427387306,0.918,0.9122,0.7,0.340247411
"RDU",2019,0.728575240666667,0.810642624,0.799563874,0.784408566,0.665989481,4865,0.52537797,0.9122,0.973,0.73,0.38186235
"RDZ",2015,0.748265702666667,0.79205503975,0.78131623525,0.752935066,0.660996592,2241,0.372174318,1.0269,0.9843,0.66,0.327297084
"RDZ",2016,0.735928112,0.7903974815,0.786695583,0.774121795,0.683596698,2241,0.444243792,0.9843,0.937,0.67,0.349817541
"RDZ",2017,0.752377017,0.8051720345,0.80500486075,0.811150536,0.736447497,2241,0.461607746,0.937,0.972,0.65,0.337786344
"RDZ",2018,0.754113467,0.840558704,0.841123646,0.836540187,0.768511018,2241,0.527796089,0.972,0.9981,0.67,0.337570485
"RDZ",2019,0.764188008,0.842630369,0.8384360505,0.844416345,0.780642815,2241,0.47802901,0.9981,0.8612,0.66,0.342909537
"RE9",2015,NA,NA,NA,NA,NA,NA,NA,1.1749,1.1556,0.71,NA
"RE9",2016,NA,NA,NA,NA,NA,NA,NA,1.1556,1.1413,0.72,NA
"RE9",2017,NA,NA,NA,NA,NA,NA,NA,1.1413,1.201,0.71,NA
"RE9",2018,NA,NA,NA,NA,NA,NA,NA,1.201,1.2681,0.69,NA
"REF",2015,0.646403954333333,0.6882345535,0.68023578375,0.494038337,0.415917002,3105,0.383080441,1.0413,1.0857,0.65,0.398786741
"REF",2016,0.665549400666667,0.70809928375,0.71491644725,0.530391535,0.465666099,3105,0.428316832,1.0857,0.9674,0.64,0.385265289
"REF",2017,0.690463274333333,0.717977509,0.72748200575,0.534015231,0.479545458,3105,0.556095664,0.9674,0.9696,0.65,0.37488491
"REF",2018,0.681070358,0.74628971675,0.748624139,0.592627997,0.516425486,3105,0.36097199,0.9696,0.9762,0.62,0.411674971
"REF",2019,0.70250287,0.7721910015,0.775378657,0.6031727,0.575921128,3105,0.556053009,0.9762,0.9021,0.66,0.421573183
"REM",2015,0.678694620333333,0.73927710025,0.74381736875,0.699537578,0.61542357,2552,0.402649899,1.0759,1.0364,0.65,0.353646272
"REM",2016,0.667655868666667,0.7386721785,0.74726505275,0.682758925,0.56696634,2552,0.430567686,1.0364,1.0701,0.68,0.370427683
